merchant_id,declared_category,label,archetype,hard_negative,telemetry_visible,telemetry_score,vision_vertical,vision_confidence,vision_surface,injection_present,infra_linked,network_score,network_synchrony,voice_status,voice_consistent,contradictions,evidence_agreement,action_confidence,tier,dissenting_channels,second_channel,steps_used,stop_reason,investigation_cost_inr,daily_gmv_recent,triage_reasons,in_test_split,cost_analyst_cost,cost_false_hold_cost,cost_missed_abuse_cost,cost_total
MID100494,electronics_retail,0,legit,festival_season,0,0.01165596632305239,electronics_retail,0.99,homepage,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,2,evidence_exhausted,2.2,568215.075,external_signal,False,0.0,0.0,0.0,0.0
MID103472,apparel,0,legit,none,0,0.0005891656820305646,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,40054.79133333333,,True,0.0,0.0,0.0,0.0
MID102478,home_furnishing,0,legit,none,0,0.001166750583902645,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,55603.79133333333,,False,0.0,0.0,0.0,0.0
MID102674,digital_services,0,legit,shared_platform,0,0.0011719151323047216,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,52820.02933333334,,False,0.0,0.0,0.0,0.0
MID100272,electronics_retail,0,legit,none,0,0.0020199787055715504,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,170902.56100000002,,False,0.0,0.0,0.0,0.0
MID102145,electronics_retail,0,legit,none,0,0.0010837100636668824,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,60540.77099999999,,False,0.0,0.0,0.0,0.0
MID103478,skill_gaming,0,legit,none,0,0.0008282649789161194,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,72333.15933333334,,False,0.0,0.0,0.0,0.0
MID103310,apparel,0,legit,viral_spike,0,0.005276229722419881,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,94347.535,,True,0.0,0.0,0.0,0.0
MID102051,electronics_retail,0,legit,none,0,0.00046770311253964257,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,120158.569,,True,0.0,0.0,0.0,0.0
MID101346,electronics_retail,0,legit,festival_season,0,0.0026796109109130674,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,2363572.7336666663,,False,0.0,0.0,0.0,0.0
MID101059,travel_agency,0,legit,festival_season,0,0.12384382778986336,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,791916.8003333333,,False,0.0,0.0,0.0,0.0
MID101063,electronics_retail,0,legit,none,0,0.0006596823094292221,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,262712.704,,False,0.0,0.0,0.0,0.0
MID102031,subscription_box,0,legit,price_point_change,0,0.011424984320073033,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,50861.07233333333,,True,0.0,0.0,0.0,0.0
MID102799,electronics_retail,0,legit,festival_season,0,0.003110399122942182,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,423665.528,,False,0.0,0.0,0.0,0.0
MID102411,electronics_retail,0,legit,festival_season,0,0.0018433533579779921,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,306727.0373333333,,True,0.0,0.0,0.0,0.0
MID103792,electronics_retail,0,legit,viral_spike,0,0.021390276980193187,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,129605.76333333334,,True,0.0,0.0,0.0,0.0
MID101911,apparel,0,legit,festival_season,0,0.030861906330094984,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,37787.92633333334,,False,0.0,0.0,0.0,0.0
MID103898,pharmacy,0,legit,shared_platform,0,0.02255665845189053,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,46582.19533333333,,False,0.0,0.0,0.0,0.0
MID101458,electronics_retail,0,legit,festival_season,0,0.011243636267226177,,,,False,6,0.363,0.109,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,222918.4296666667,,False,0.0,0.0,0.0,0.0
MID102569,subscription_box,0,legit,viral_spike,0,0.0012245953287911334,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,48515.561,,False,0.0,0.0,0.0,0.0
MID103995,home_furnishing,0,legit,none,0,0.0006539364490997801,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,254879.2996666667,,False,0.0,0.0,0.0,0.0
MID100922,digital_services,0,legit,none,0,0.0012397900913939375,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,71542.44666666667,,False,0.0,0.0,0.0,0.0
MID100211,apparel,0,legit,festival_season,0,0.005844042644045618,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,227664.597,,False,0.0,0.0,0.0,0.0
MID100595,apparel,0,legit,none,0,0.00615481145108446,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,92018.56333333332,,True,0.0,0.0,0.0,0.0
MID100971,electronics_retail,0,legit,none,0,0.001476653120047281,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,212281.236,,False,0.0,0.0,0.0,0.0
MID102127,apparel,0,legit,none,0,0.01233399430385313,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,12652.390666666668,,False,0.0,0.0,0.0,0.0
MID100048,pharmacy,1,licensing_violation,none,0,0.4993324779432499,unregistered_pharmacy,0.9314,homepage,False,0,0.0,0.0,answered,True,2,2,RESTRICT,3,storefront,,4,evidence_exhausted,2.2,47784.89366666667,telemetry_drift,False,900.0,0.0,0.0,900.0
MID103052,home_furnishing,0,legit,viral_spike,0,0.0004191911842540988,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,41585.985,,False,0.0,0.0,0.0,0.0
MID100320,apparel,0,legit,none,0,0.001009629014466621,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,108905.90666666668,,False,0.0,0.0,0.0,0.0
MID103801,electronics_retail,0,legit,none,0,0.0032030150968956088,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,395223.4853333334,,True,0.0,0.0,0.0,0.0
MID101301,home_furnishing,0,legit,none,0,0.004721465248574135,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,15962.198666666663,,False,0.0,0.0,0.0,0.0
MID100675,subscription_box,0,legit,none,0,0.011298686850438392,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,98454.372,,True,0.0,0.0,0.0,0.0
MID101597,apparel,0,legit,festival_season,0,0.05638797865648,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,39346.23833333333,,False,0.0,0.0,0.0,0.0
MID102271,digital_services,0,legit,none,0,0.0009414205175647214,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,20051.875,,False,0.0,0.0,0.0,0.0
MID102505,electronics_retail,0,legit,festival_season,0,0.003454181666283657,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,1435397.1079999998,,False,0.0,0.0,0.0,0.0
MID101225,apparel,0,legit,none,0,0.004641560053109265,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,94888.032,,False,0.0,0.0,0.0,0.0
MID103551,apparel,0,legit,price_point_change,0,0.00438880308382197,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,26193.931666666664,,False,0.0,0.0,0.0,0.0
MID101206,electronics_retail,0,legit,none,0,0.0006355837932984602,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,103174.44966666668,,False,0.0,0.0,0.0,0.0
MID101842,subscription_box,0,legit,none,0,0.0007341227793478227,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,72984.62333333332,,True,0.0,0.0,0.0,0.0
MID102841,pharmacy,0,legit,none,0,0.005303433954088307,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,53373.32966666667,,False,0.0,0.0,0.0,0.0
MID101235,pharmacy,0,legit,shared_platform,0,0.011276382347916643,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,66079.68966666666,,True,0.0,0.0,0.0,0.0
MID102966,home_furnishing,0,legit,none,0,0.0012983210070474614,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,43548.30299999999,,True,0.0,0.0,0.0,0.0
MID103326,skill_gaming,0,legit,none,0,0.0008852804384765451,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,210172.52366666665,,False,0.0,0.0,0.0,0.0
MID102187,skill_gaming,0,legit,none,0,0.0105437595895484,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,269642.674,,False,0.0,0.0,0.0,0.0
MID102375,apparel,0,legit,viral_spike,0,0.008459080756178036,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,113570.804,,False,0.0,0.0,0.0,0.0
MID103541,digital_services,0,legit,none,0,0.002232113380188199,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,30046.36633333333,,False,0.0,0.0,0.0,0.0
MID101824,digital_services,0,legit,none,0,0.0006275541490877791,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,53916.75433333333,,True,0.0,0.0,0.0,0.0
MID103459,pharmacy,0,legit,shared_platform,0,0.002255570215506235,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,43369.501,,False,0.0,0.0,0.0,0.0
MID103275,apparel,0,legit,none,0,0.009862243676412735,apparel,0.99,homepage,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,2,evidence_exhausted,2.2,252652.429,high_volume_rotation,True,0.0,0.0,0.0,0.0
MID103936,travel_agency,0,legit,festival_season,0,0.0023247450642888156,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,218629.733,,False,0.0,0.0,0.0,0.0
MID100939,home_furnishing,0,legit,none,0,0.0006949374861296129,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,42234.53733333333,,True,0.0,0.0,0.0,0.0
MID100450,travel_agency,0,legit,festival_season,0,0.006058261028828338,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,656146.5473333334,,False,0.0,0.0,0.0,0.0
MID100976,home_furnishing,0,legit,none,0,0.0010520335918447559,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,40919.43166666666,,False,0.0,0.0,0.0,0.0
MID101045,skill_gaming,0,legit,none,0,0.0008417234678014565,,,,False,0,0.0,0.0,not_called,,0,0,NONE,0,,,0,not_triaged,0.0,283433.736,,True,0.0,0.0,0.0,0.0
